本文,GPT-2 対数尤度,BERT 交換評価値,BERT 散文評価値,季語,季題,切れ字,動詞数,動詞,名詞数,名詞,音数,距離1,類似句1,距離2,類似句2,距離3,類似句3
セーターを着て少年の日なりけり,-19.843287,0.9953747987747192,0.9999996423721313,セーター,三冬,けり,2,"着, 日なり",4,"セーター, 少年, 日, けり",17,6,セーターを着て晩年のまだ見えず,7,セーターを着て風狂に遠くをり,7,帷子を着て町人の子なりけり
セーターを着せられてゐる子供かな,-19.95155,0.9942644238471985,0.9999997019767761,セーター,三冬,かな,2,"着せ, ゐる",2,"セーター, 子供",17,6,外套を着せられてゐる別れかな,7,形代になでられてゐる子供かな,7,下萌にねぢ伏せられてゐる子かな
セーターを着こなしてゐる子供かな,-20.811308,0.9932680726051331,0.9999997019767761,セーター,三冬,かな,3,"着, こなし, ゐる",2,"セーター, 子供",17,8,噴水に手をあててゐる子供かな,9,外套を着せられてゐる別れかな,9,そら豆のやうな顔してゐる子かな
セーターの胸の高さを持ち歩く,-20.92115,0.9883134961128235,0.9999997019767761,セーター,三冬,,1,持ち歩く,2,"セーター, 胸",17,8,セーターの錨の模様胸を逸れ,8,泳ぎ子等波の力を持ち歩く,8,セーターの胸にV切る銀ぐさり
セーターを着せられてゐる女かな,-21.071184,0.994667112827301,0.9999997019767761,セーター,三冬,かな,2,"着せ, ゐる",2,"セーター, 女",17,6,外套を着せられてゐる別れかな,6,セーターを着せられし子の兎跳び,7,下萌にねじ伏せられてゐる子かな
セーターの胸の高さをもてあます,-21.109112,0.9797612428665161,0.9999997019767761,セーター,三冬,,1,もてあます,2,"セーター, 胸",17,7,寒苦鳥夜のつばさをもてあます,8,セーターの胸の薔薇ごと愛さるる,8,氷上の肩青空をもてあます
セーターの胸の高さを競ひけり,-21.445568,0.9853065609931946,0.9999997019767761,セーター,三冬,,1,ひけ,3,"セーター, 胸, 競",17,7,枯木らは枯れし高さを競ひけり,7,セーターの胸にV切る銀ぐさり,7,セーターの上に口あり笑ひあり
セーターの胸の高さを持ち帰る,-21.461714,0.9874371290206909,0.9999997019767761,セーター,三冬,,1,持ち帰る,2,"セーター, 胸",17,7,セーターの胸の薔薇ごと愛さるる,7,仙人掌の花の孤独を持ち帰る,8,宝石商冬の夜空を持ち帰る
セーターを着せられてゐる少女かな,-21.725454,0.994586706161499,0.9999997019767761,セーター,三冬,かな,2,"着せ, ゐる",2,"セーター, 少女",17,6,外套を着せられてゐる別れかな,7,セーターを着せられし子の兎跳び,8,猫の尻見せられてゐる大暑かな
セーターの胸の高さに反抗期,-21.782932,0.9848134517669678,0.9999997019767761,セーター,三冬,,0,,4,"セーター, 胸, 反抗, 期",17,7,祈る手の胸の高さに秋の風,7,セーターの錨の模様胸を逸れ,8,鳥の巣の松の高さに松曇り
セーターの胸の高さのありにけり,-21.885906,0.987621009349823,0.9999997019767761,セーター,三冬,けり,0,,4,"セーター, 胸, あり, けり",17,6,土雛に鼻の高さのありにけり,7,雪残る山路の高さありにけり,7,田鶴の棹出来る高さのありにけり
セーターを着せられしこと忘れをり,-21.926594,0.9951123595237732,0.9999997019767761,セーター,三冬,,1,着せ,3,"セーター, こと, 忘れ",17,6,セーターを着せられし子の兎跳び,8,セーターを着て風狂に遠くをり,9,竹夫人子を生みしこと忘れたり
セーターをはみ出してゐる子供かな,-21.960346,0.9908846616744995,0.9999997019767761,セーター,三冬,かな,2,"はみ出し, ゐる",2,"セーター, 子供",17,6,フレームをはみ出してゐる蕾かな,7,囀のはみ出してゐる大樹かな,8,噴水に手をあててゐる子供かな
セーターに胸の高さのありにけり,-21.984268,0.9890711903572083,0.9999997019767761,セーター,三冬,けり,0,,4,"セーター, 胸, あり, けり",17,5,土雛に鼻の高さのありにけり,7,障子百枚に梅の木影のありにけり,7,田鶴の棹出来る高さのありにけり
セーターを着こなしてゐる少女かな,-22.039032,0.9940209984779358,0.9999997019767761,セーター,三冬,かな,3,"着, こなし, ゐる",2,"セーター, 少女",17,8,鼠花火をはげましてゐる女かな,9,鵯の日をこぼしゐる大樹かな,9,端然と恋をしてゐる雛かな
セーターの肩幅広き男かな,-22.134941,0.9865189790725708,0.9999997019767761,セーター,三冬,かな,1,き,3,"セーター, 肩, 男",17,7,セーターの紫許せ紫禁城,7,借紋服月の街道広きかな,7,セルを着て髪美しき男かな
セーターの胸あたたかき誕生日,-22.196146,0.9888873100280762,0.9999997019767761,セーター,三冬,,0,,5,"セーター, 胸, かき, 誕生, 日",17,8,春塵の顔あたたかき泡の中,8,くれなゐの闇あたたかき雛の間,8,歳晩の雨あたたかき父の家
セーターに顎埋めてゐる子供かな,-22.203465,0.9865714907646179,0.9999997019767761,セーター,三冬,かな,2,"埋め, ゐる",3,"セーター, 顎, 子供",17,7,セーターに顎を埋めて少女期去る,7,虫売に叱られてゐる子供かな,8,形代になでられてゐる子供かな
セーターを着せられてゐる車椅子,-22.210754,0.9945200681686401,0.9999997019767761,セーター,三冬,,2,"着せ, ゐる",3,"セーター, 車, 椅子",17,6,セーターを着せられし子の兎跳び,8,外套を着せられてゐる別れかな,8,死に真似をさせられてゐる春の夢
セーターの胸美しく老いにけり,-22.231867,0.9887427687644958,0.9999997019767761,セーター,三冬,けり,0,,4,"セーター, 胸, 老い, けり",17,6,セーターの赤が似合ひて老いにけり,6,秋蝶に猶美しく老いにけり,7,秋団扇背筋正しく老いにけり
セーターの襟を正して坐りけり,-22.268232,0.991299033164978,0.9999997019767761,セーター,三冬,けり,2,"正し, 坐り",3,"セーター, 襟, けり",17,7,藁の上の暖くして坐りけり,7,木の実独楽影を正して回りけり,7,野施行の水を濁して戻りけり
セーターをはみ出してゐる女かな,-22.323198,0.9926854372024536,0.9999997019767761,セーター,三冬,かな,2,"はみ出し, ゐる",2,"セーター, 女",17,5,フレームをはみ出してゐる蕾かな,6,鼠花火をはげましてゐる女かな,7,箱釣を跼み見てゐる女かな
セーターを胸の高さに吊しけり,-22.384478,0.9921478629112244,0.9999997019767761,セーター,三冬,けり,1,吊し,3,"セーター, 胸, けり",17,7,セーターを着て風狂に遠くをり,8,月見草胸の高さにひらきけり,8,セーターの胸にV切る銀ぐさり
セーターを着て父となり母となり,-22.477081,0.9920412302017212,0.9999997019767761,セーター,三冬,,3,"着, なり, なり",3,"セーター, 父, 母",17,7,セルを着て人となり女とはなりぬ,7,セーターを着て風狂に遠くをり,7,破魔矢受く子は父となり母となり
