本文,GPT-2 対数尤度,BERT 交換評価値,BERT 散文評価値,季語,季題,切れ字,動詞数,動詞,名詞数,名詞,音数,距離1,類似句1,距離2,類似句2,距離3,類似句3
大木を伐り倒したる年男,-21.877827,0.991315484046936,0.9999997019767761,年男,新年,,1,伐り倒し,2,"大木, 年男",17,6,鷄頭を伐り倒したる夕日かな,6,一本を抛り足したる初鰹,6,大木の伐り倒しあり冬の山
百姓になりすましたる年男,-23.599512,0.987859308719635,0.9999997019767761,年男,新年,,1,なりすまし,2,"百姓, 年男",17,5,人間になりすましたる青大将,5,百姓となりすましたる布子かな,6,蛤になりすまして居る雀哉
大津絵の鬼を連れたる年男,-24.26884,0.9880576133728027,0.9999997019767761,年男,新年,,1,連れ,4,"大津, 絵, 鬼, 年男",17,5,大津絵の鬼が見栄切る年忘,6,大勢の子供連れたる初詣,7,大津絵の鬼に初日や庵の壁
年男山もろともに暮れにけり,-24.842255,0.9860313534736633,0.9999996423721313,年男,新年,けり,0,,5,"年男, 山, もろとも, 暮れ, けり",17,6,初鏡夢もろともに映しけり,6,山鯨狸もろとも吊られけり,6,寒雀芥もろとも流れけり
一本の杖となりたる年男,-24.940388,0.9932711720466614,0.9999997019767761,年男,新年,,1,なり,3,"一, 杖, 年男",17,5,金婚の夢となりたる初暦,5,一輪の花となりたる揚花火,5,白波の昼となりたる種選
大津絵の鬼も加へて年男,-25.171238,0.9793605208396912,0.9999997019767761,年男,新年,,1,加へ,4,"大津, 絵, 鬼, 年男",17,6,大津絵の鬼も見じとや暖鳥,6,大津絵の鬼が見栄切る年忘,6,大津絵の鬼枕上ミ宿夜長
大津絵の鬼の痩せたる年男,-25.439287,0.9848968386650085,0.9999997019767761,年男,新年,,1,痩せ,4,"大津, 絵, 鬼, 年男",17,5,大津絵の鬼が見栄切る年忘,6,大津絵の鬼の酩酊夕立来る,6,大津絵の鬼の来てゐる注連貰
円通寺門前町の年男,-25.566633,0.9766935706138611,0.9998417496681213,年男,新年,,0,,4,"円通, 門前, 町, 年男",17,6,初不動門前町の鰻の香,6,暦売る門前町の古本屋,6,平林寺門前竹の秋の関
群衆の中の一人の年男,-25.842466,0.9716116786003113,0.5865893363952637,年男,新年,,0,,4,"群衆, 中, 一人, 年男",17,5,群集の中の一点暦売り,6,十月の中の十日の霰哉,6,一堂の中の一燈春深し
雨脚の太くなりたる年男,-25.972603,0.9859141707420349,0.9999997019767761,年男,新年,,1,なり,2,"雨脚, 年男",17,5,雨脚のゆるくなりたる蚊喰鳥,5,青空の白くなりたる餅配,6,旧姓の遠くなりたる墓洗ふ
